user_id,emotion_id,emotion,log_id,X,Y,,,
121962,1482,Committed,220121,-0.29695188,0.040830525,,,
121968,1708,Equilibrium,220561,-0.208966418,0.155142707,,,
121968,1841,Stable,220601,-0.078876043,0.365098816,,,
121962,1369,Optimistic,224721,-0.963315931,-0.211659282,,,
121968,2033,Lucky,226281,-0.050633889,-0.29371537,,,
121962,54172,Nervous,224761,0.051804421,-0.812371546,,,
121968,54172,Nervous,226321,0.051804421,-0.812371546,,,
121962,1941,Buzzing,224801,-0.531335718,-0.661022109,,,
121968,1830,Methodical,226361,-0.289973849,0.202565822,,,
121962,2241,Tired,229201,0.0475,0.605416667,,,
121968,1854,Keen,226441,-0.111228551,-0.848022792,,,
121962,2347,Cynical,229241,0.584583333,0.038333333,,,
121968,1438,Pleased,230561,-0.565590817,0.192935363,,,
121962,1499,Thoughtful,229281,-0.100478149,0.060245873,,,
121968,1438,Pleased,230601,-0.565590817,0.192935363,,,
121962,2136,Pissed off,231161,0.433059832,-0.930397811,,,
121964,2262,Exhausted,232201,0.344166667,0.78125,,,
121968,54172,Nervous,230641,0.051804421,-0.812371546,,,
121962,1351,Motivated,231641,-0.72375,-0.71875,,,
121968,3010,Frustrated,234121,0.294441313,-0.927772883,,,
121962,2091,Alright,232921,-0.0725379,0.82853573,,,
121964,54181,Sad,232361,0.83375,0.044166667,,,
121964,54181,Sad,232441,0.83375,0.044166667,,,
121964,1596,Fine,236601,-0.207083333,0.802083333,,,
121968,2178,Tense,234161,0.1075,-0.469583333,,,
121962,1529,Definite,236561,-0.064166667,-0.548333333,,,
121964,3011,Anxious,240961,0.077916667,-0.9275,,,
121964,3011,Anxious,241001,0.077916667,-0.9275,,,
121968,1450,Cheerful,239721,-0.39125,-0.218333333,,,
121962,2132,Restless,238881,0.045941695,-0.544121117,,,
121964,3011,Anxious,243321,0.077916667,-0.9275,,,
121968,1475,Alive,251121,-0.190833333,-0.209166667,,,
121962,2036,Purposeful,239441,-0.856952085,-0.194453554,,,
121968,1450,Cheerful,254841,-0.39125,-0.218333333,,,
121962,1437,Busy,245281,-0.192083333,-0.68,,,
121968,2241,Tired,264521,0.0475,0.605416667,,,
121962,2133,Impatient,250521,0.188053258,-0.683219159,,,
121962,1501,Interest,253521,-0.051750628,0.053502369,,,
121962,1429,Fulfilled,256721,-0.29,-0.592083333,,,
121962,1369,Optimistic,262081,-0.963315931,-0.211659282,,,
121962,1474,Capable,266881,-0.059936935,-0.045200221,,,
121962,1349,Engaged,274201,-0.181506014,-0.580540886,,,
121964,3013,Bored,278321,0.044583333,0.824583333,,,
121962,1596,Fine,245321,-0.207083333,0.802083333,,,
121964,1401,Kind,241081,-0.66625,0.03375,,,
121968,1450,Cheerful,239681,-0.39125,-0.218333333,,,
121962,2134,Worried,245361,0.040484754,-0.712613473,,,
121964,1450,Cheerful,244721,-0.39125,-0.218333333,,,
121964,1506,Able,244761,-0.145416667,0.281666667,,,
121968,54258,Stalled,251161,0.0625,-0.3525,,,
121962,1735,Productive,245401,-0.545653529,-0.454313721,,,
121964,1657,Reasonable,244801,-0.1675,0.542916667,,,
121968,2132,Restless,251201,0.045941695,-0.544121117,,,
121962,1359,Compassionate,245441,-0.9275,-0.05375,,,
121968,2134,Worried,251241,0.040484754,-0.712613473,,,
